tau0,tauB,kappa,eta,beta,P_wash_frac,gamma_wash,lambda_wash,P_hold_frac,tau_decay_frac,W_on,W_off,P_on_frac,P_off_frac,best_baseline_name,best_baseline_J,best_baseline_avg_power,best_baseline_tracking_error,best_pulse_J,best_pulse_avg_power,best_pulse_tracking_error,best_pulse_period,best_pulse_duty,best_pulse_P_base_frac,best_pulse_DeltaP_frac,pulsing_wins,improvement,feasible_stable_baseline
1.7655584569107043,1.0229925108267839,7.444873329044959,0.27534187831011964,0.03840786495056129,0.7327977913932471,0.7860643052769538,0.3843408980266376,0.3427508596321186,0.1518411052064047,1.1707059955394408,0.8219325600403322,0.8936569679624979,0.4103899391791318,const_0.91,14.234084674809422,0.905263157894737,0.6728925588153681,,,,,,,,False,0.0,True
0.7599779420470392,0.11284241996499546,2.7652100625648566,0.826188181800229,2.4476301155139658e-06,0.5406608315867123,0.4907069943545209,2.8134793649249485,0.42162323404444896,0.2065351230527153,0.9067902652367574,0.6657844986712761,0.7124034414829227,0.40723802221353267,const_0.72,12.029773717241355,0.7157894736842105,0.1314899777930163,,,,,,,,False,0.0,True
0.6436873038077197,0.7136796300359369,12.405783530272554,0.4537111142581723,0.03003624752119454,0.403642486698083,0.5150571292317145,0.7678952717028082,0.6584283205318261,0.08187092789114513,0.8179642477569317,0.717548530001519,0.9954253384335022,0.7241740863784398,const_1.00,14.522111004543126,1.0,0.7652391538484776,,,,,,,,False,0.0,True
1.983624379790012,1.356623424020056,21.857159731929812,0.29578687080089827,3.5503089197635028e-06,0.2613963083375379,0.6578632850405278,1.2558249023711383,0.553308920492198,0.3734755771580945,0.9334551033312952,0.8834551033312952,0.8575192882423914,0.289374458637123,const_1.00,17.07396297030275,1.0,2.040033712146626,,,,,,,,False,0.0,True
1.9893482942034029,0.5291276711029457,2.9201458798095277,0.2926853794682147,2.1807394023696877e-06,0.7893952477276243,0.0555679169068779,0.8418343084009677,0.26718452632600476,0.08395391757707181,0.9255573479207957,0.8713462833625428,0.4088097061360425,0.3588097061360425,const_0.86,14.254090866078693,0.8578947368421053,0.7093524737893696,,,,,,,,False,0.0,True
2.509103648837284,0.6077285467798551,3.4669161395206305,0.2839837727168565,7.460815049498132e-05,0.8421363707861733,0.6308322403647424,0.5325197473109025,0.2702561631462432,0.08876694371079467,0.8099292527194291,0.759929252719429,0.668924396954123,0.31527455069455035,const_0.76,13.925753058069976,0.7631578947368423,1.089754562473778,,,,,,,,False,0.0,True
0.786908773545434,0.10395150546555097,7.6416683645540004,0.7070158184554105,0.04106546052813119,0.6342503967606308,0.4775058736277328,2.284297689552023,0.6371631167766345,0.4331287866065336,1.1852844894197518,0.8910025853690886,0.9200808629571559,0.17987284982854607,const_0.95,14.82889880388263,0.9526315789473684,0.9413517623130037,,,,,,,,False,0.0,True
1.458132568351171,1.029573363803437,6.099947169506902,0.9758520933644557,0.04231583076484104,0.40175977184153366,0.7337534974379162,2.249950613805806,0.2752203598534817,0.07246500007480418,0.816378784114288,0.766378784114288,0.6938198450901436,0.6438198450901436,const_0.72,15.482346314325653,0.7157894736842105,1.3850586193598422,2.0053245015413794,0.5104323953328758,0.08162583080258627,2.0,0.3,0.3,0.7,True,0.8704767054793321,True
2.6576582367215575,0.10065545441387955,2.858414904580671,0.4664753288085103,0.00010636352692258645,0.746406796268609,0.8412037062149564,0.7810456302457501,0.2596187866290244,0.10338260461547948,0.991945360220426,0.8416291788294065,0.5369517252780523,0.33151501943840667,const_0.57,14.313766186620832,0.5736842105263157,1.3767009444304152,,,,,,,,False,0.0,True
2.114894442510738,0.5403136268739989,4.7707767319573415,0.37308455618032116,8.820560755915796e-05,0.4223449440544932,0.07810839308036388,0.08950431029909245,0.2752111260146676,0.052933913284679154,0.8661951030327101,0.8625916604254344,0.8248547414101528,0.6170062705201679,const_0.86,17.071596947769557,0.8578947368421052,2.1106782103714257,,,,,,,,False,0.0,True
0.6398109735727555,0.815813710787026,8.485169537719907,0.6535502362555095,0.0036627168226825574,0.8883919531950564,0.4192723879008051,1.5437491556565925,0.05810542066178861,0.542783995385523,1.0080920268183975,0.7039807151802826,0.4564431778536375,0.40644317785363754,const_0.48,12.896478335871546,0.4789473684210526,0.7160694235876975,,,,,,,,False,0.0,True
2.9792859004986716,0.8091987622801782,4.9499807785953225,0.6647914989984406,8.36635873486776e-05,0.6212423291073959,0.9353813695664948,1.4029207698797894,0.17788241748791034,0.15478408443281325,0.9576427930372474,0.5655543465131099,0.497722900332733,0.447722900332733,const_0.91,22.626793462705976,0.9052631578947369,4.862299205001708,2.79294959969198,0.38347269049224547,0.23712318554333053,4.199999999999999,0.25,0.2,0.7,True,0.8765644984431671,True
1.7525724470734674,0.2991466407488485,0.5229159990176631,0.9168976659389043,2.9631669936366514e-06,0.3851778678059178,0.846478536067957,0.5384762170382623,0.31881915535148037,0.19242010504134693,0.8981035892092839,0.8551226006679933,0.9108007896413223,0.7122025978989003,const_0.72,11.854796390629573,0.7157894736842105,0.035457590343552475,,,,,,,,False,0.0,True
4.01300255302888,1.2857816890618508,0.6371988893409304,0.6435332416319468,9.463616719871112e-06,0.37722922428862105,0.030054578761178785,0.35685993222063395,0.6459514649589772,0.13100687005894754,1.0432516847658366,0.7325070659946364,0.640270747147167,0.4723202639422477,const_0.53,12.989568591258415,0.5263157894736842,0.26687388321505706,2.677325702006926,0.47563745446753797,0.18884074796828001,1.4,0.25,0.3,0.7,True,0.7938864802785919,True
3.519951151262735,1.0181862177791567,0.30320670430234975,0.9946947987289425,2.088929061805697e-05,0.24344417457810869,0.45826204153651395,0.38709017154612524,0.1490123616024242,0.33234481669275673,0.9571709566280933,0.9071709566280932,0.591493896764842,0.5414938967648419,const_0.38,12.827961529944524,0.38421052631578956,0.25636264867107383,2.2115837710983994,0.36938152201578006,0.20376379422078977,1.4,0.3,0.1,0.9,True,0.8275966320965444,True
1.044627469715151,0.4966108456168337,1.6210344026705088,0.7908085701493028,7.840499414058901e-05,0.5932732510440994,0.7197825350215462,1.5268024552540629,0.6396061124911805,0.17558732671972296,1.05882871925733,0.6711812166500271,0.6448940009386078,0.40803507576348674,const_0.67,13.190696267577827,0.6684210526315787,0.28145625013813536,,,,,,,,False,0.0,True
4.522503023369619,5.179023090798249,10.053133242209512,0.5844861047538452,0.00013959027744269676,0.3681583933043022,0.6448191943592905,0.8679604083070036,0.21757546630653035,0.289283276884024,0.9639929552900173,0.6094283043973161,0.8896336100516986,0.7023989435060632,const_0.57,13.022125472565232,0.5736842105263157,0.2612144653803978,2.3051124768519164,0.510198300283286,0.15631593845979216,2.0,0.3,0.3,0.7,True,0.8229849280973153,True
4.577330754986681,0.14462560666610863,0.0,0.8325903791167952,1.869357504241118e-05,0.8193943416544525,0.6634532572290868,0.33553440714203153,0.5911440352006047,0.08480372804832069,0.9693981578718616,0.7760924642796649,0.7004596894481669,0.5803140409306053,const_0.38,12.17685939859777,0.3842105263157895,0.41504415557117313,2.1653424834388266,0.33101453467351216,0.20190231293024885,2.8,0.25,0.1,0.9,True,0.8221756191347518,True
4.783512564803211,0.206884150261815,2.369082960595913,0.5143345413576592,0.012941791613977328,0.8829169520798796,0.8728589587741787,0.5769020371053991,0.1935186487858071,0.3568960985236027,0.9156334326552767,0.8673625653902899,0.7398523904857868,0.4856361379432821,const_0.57,12.061147081630772,0.5736842105263158,0.2782549166914596,3.207320333067889,0.48376146472657056,0.31208676158967896,4.199999999999999,0.25,0.3,0.7,True,0.7340783333989298,True
0.8316491328431045,0.296899342455277,21.6997383146524,0.27986484574143217,3.196563012931411e-06,0.28072850667769156,0.619569256310312,0.36590689262886866,0.604048506654673,0.4789606892876162,1.1279235432952097,0.7630302634430104,0.998006326911492,0.1309225720609129,const_1.00,17.14237936553567,1.0,2.075630663494721,,,,,,,,False,0.0,True
0.3173218172161845,0.5564011153788098,4.274085165900607,0.8449527723557801,6.315796954560409e-06,0.8850439007303073,0.4986395468763152,1.4810162288119373,0.6810750735547295,0.15642790415537117,0.9590100098219971,0.7923763514024683,0.4768315663286722,0.3247599384882984,const_0.76,11.008017465897124,0.7631578947368421,0.08756451334807608,,,,,,,,False,0.0,True
4.227949864759932,9.308038856622748,0.0,0.6754181554412639,0.013377914248906166,0.4621247555142564,0.10110616593558497,2.4328887067197655,0.3631463083854115,0.27118259409414996,1.1928577185271378,0.8036057152470361,0.6549876313996608,0.35898905749303844,const_0.48,12.793313447279303,0.4789473684210527,0.21571495077723396,,,,,,,,False,0.0,True
